,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,0.733333333333,0.0872156013001,0.192058823308,0.116723259762,0.0,0.733333333333,0.0872156013001,0.192058823308,0.116723259762,0.0
1,0.733333333333,0.20581179384,0.171007372487,0.239813242784,0.0,0.733333333333,0.18241316865,0.175593886599,0.185702241937,0.0
2,0.733333333333,0.3197647423,0.164542801154,0.362903225806,0.0,0.733333333333,0.421865789182,0.150905187702,0.433749942206,0.0
3,0.733333333333,0.436464943507,0.18474806842,0.452037351443,0.0,0.733333333333,0.588673643981,0.270959659721,0.602819396793,1.0
4,0.733333333333,0.519888562142,0.165862516252,0.553904923599,1.0,0.733333333333,0.725516415082,0.494750929848,0.715020217023,1.0
5,0.733333333333,0.589459835939,0.249137065926,0.613327674024,1.0,0.733333333333,0.86946607516,0.76127166353,0.820944869375,1.0
6,0.733333333333,0.676946293143,0.397817689603,0.685483870968,1.0,0.733333333333,0.982144172588,0.939066707546,0.910395495939,1.0
7,0.733333333333,0.779716762111,0.522158490782,0.734295415959,1.0,0.333333333333,0.0121885157096,0.0461335660087,0.0379881154499,0.0
8,0.733333333333,0.838724655626,0.665279447602,0.797962648557,1.0,0.333333333333,0.105695153002,0.0365257667637,0.104569263322,0.0
9,0.733333333333,0.900325027086,0.75267048453,0.840407470289,1.0,0.333333333333,0.231802005171,0.0251016857871,0.233801554581,0.0
10,0.733333333333,0.962892741062,0.847674162116,0.891341256367,1.0,0.333333333333,0.406260430362,0.0482460828291,0.425376080764,0.2
11,0.733333333333,1.0,0.954062170401,0.933786078098,1.0,0.333333333333,0.529948570956,0.0742826684254,0.645901406613,0.2
12,0.333333333333,0.0121885157096,0.0461335660087,0.0379881154499,0.0,0.333333333333,0.662623256491,0.108271441885,0.727709267013,0.2
13,0.333333333333,0.0722024454419,0.0355637999062,0.0959252971138,0.0,0.333333333333,0.759722520438,0.140989827288,0.752490739346,0.2
14,0.333333333333,0.129739978332,0.0327180936478,0.171689303905,0.0,,,,,
15,0.333333333333,0.207436929268,0.0238497286416,0.26126910017,0.0,,,,,
16,0.333333333333,0.317752669865,0.0205598513006,0.341044142615,0.2,,,,,
17,0.333333333333,0.388716916886,0.0331923780242,0.456918505942,0.2,,,,,
18,0.333333333333,0.45523138833,0.053669417767,0.581706281834,0.2,,,,,
19,0.333333333333,0.547515864417,0.0709770333437,0.644100169779,0.2,,,,,
20,0.333333333333,0.631752050766,0.0922671320174,0.679753820034,0.2,,,,,
21,0.333333333333,0.695712737966,0.110372749878,0.702037351443,0.2,,,,,
22,0.333333333333,0.75642315431,0.128124536538,0.724320882852,0.2,,,,,
23,0.333333333333,0.792988701439,0.149218898802,0.688667232598,0.2,,,,,
